Species,Size,Treatment,Replicate,C16:0,C16:1n-7,C18:1n-9,C18:2n-6,C18:3n-3,C20:4n-6,C20:5n-3,SAFA,MUFA,PUFA,n3,n6,Sum
Gammarus,Small,High,2,34.3299673,3.371141335,14.79890601,5.410111009,36.71215649,1.182706664,1.170818653,57.727046154,21.599542949,46.828443024,39.569962809,7.258480215,126.155032127
Gammarus,Small,High,3,53.49626434,6.085999834,26.63988987,8.837314118,88.79355654,0.987406034,1.092085943,89.156513101,36.447472505,105.291088217,94.316846067,10.974242150,230.895073823
Gammarus,Small,High,4,53.80343661,8.778447639,28.93174334,11.43915655,75.63583699,1.344079577,1.995950157,71.251151912,41.80319461,96.109020291,81.953816601,14.15520369,209.163366813
Gammarus,Small,High,5,18.73363635,1.215435326,3.165068877,1.954831635,10.84485721,0.824318169,0.75247054,35.692993156,5.108907306,14.842194048,11.59732775,3.244866298,55.644094510
Gammarus,Small,Intermediate,1,82.34668133,14.11205042,48.8073305,7.330407887,31.23274176,0.883008841,1.099786315,103.923020206,68.242064765,43.632842494,34.22628907,9.406553424,215.797927465
Gammarus,Small,Intermediate,2,51.38398292,9.54692279,10.45271311,9.669720109,39.36080584,0.914968206,1.064951547,56.822977542,23.996567296,53.90636872,42.24175734,11.664611380,134.725913558
Gammarus,Small,Intermediate,3,22.05800297,1.866086706,5.48844032,2.133469929,9.279679991,0.991838675,1.016804016,41.905546019,8.277028545,13.914795304,10.7894867,3.125308604,64.097369868
Gammarus,Small,Intermediate,4,52.87252639,12.52363104,35.11428345,9.924125445,47.63539532,0.699204699,0.790570114,75.573619492,52.148430873,62.887773631,51.031435105,11.856338526,190.609823996
Gammarus,Small,Intermediate,5,90.48269865,20.78222347,67.67477547,17.2918062,78.16447862,1.683921777,1.837610616,125.670137712,96.720795852,105.749396034,84.220078974,21.52931706,328.140329598
Gammarus,Small,Low,1,29.17819968,5.331206249,12.75814683,4.299365887,16.62645655,0.785339961,0.925175155,43.619294169,21.306103628,24.399561529,18.648032994,5.751528535,89.324959326
Gammarus,Small,Low,2,60.27132855,11.83252487,32.27183537,10.36175909,44.65878595,0.888308983,1.143542634,87.023243921,48.567209952,60.768835808,48.355663599,12.413172209,196.359289681
Gammarus,Small,Low,3,41.83135842,6.020815806,18.53960875,6.096093232,26.78592695,0.889465794,0.874155626,63.102462339,26.268464311,37.221086788,29.229126478,7.991960310,126.592013438
Gammarus,Small,Low,4,54.87057727,7.686353203,22.33175495,10.53633205,41.1081928,1.109707734,1.12830141,83.042387262,33.68178782,57.377869817,44.421170513,12.956699304,174.102044899
Gammarus,Small,Low,5,30.65520561,5.44445235,17.54424458,5.086785389,23.8553772,1.024905536,1.124840793,47.824281708,25.908498164,33.371857186,26.396025509,6.975831677,107.104637058
Gammarus,Small,Start,1,15.22637953,0.58443779,1.9500078,0.736582606,3.469921773,0.701249091,0.876228698,19.904131048,4.620945998,6.274633251,4.346150471,1.928482780,30.799710297
Gammarus,Small,Start,2,21.86014245,1.54731832,10.79750766,2.565064684,1.008286364,0.883370851,0.895336757,40.001280359,12.712716479,5.352058656,1.903623121,3.448435535,58.066055494
Gammarus,Small,Start,3,21.38213604,2.73560237,13.53372274,2.918314638,7.091557973,1.129496043,1.249074222,23.028668532,18.687180688,13.133395598,8.725402465,4.407993133,54.849244818
Gammarus,Small,Start,4,29.12882806,6.109935722,17.1466954,7.313331362,13.30158405,1.783999672,1.934056072,48.383150658,25.685929256,26.293544811,16.223980058,10.069564753,100.362624725
Gammarus,Small,Start,5,16.64971943,0.540863077,1.732425699,0.590837219,2.377125932,0,0,34.012102156,2.604807243,2.967963151,2.377125932,0.590837219,39.584872550
